id,sira,ders,sinif,unite,konu,baslik,kazanim_kodu,kazanim,aciklama,yorum,etiketler
turk_dili_ve_edebiyati-ort-A_4_4,47,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.4,Metnin ana düşüncesi ve yardımcı düşüncelerini belirler.,,"Kazanımın odağı, öğrencinin metnin ana düşüncesi ve yardımcı düşüncelerini belirler. hedefidir.",metnin; düşüncesi; yardımcı; düşüncelerini
turk_dili_ve_edebiyati-ort-A_4_5,48,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.5,"Metindeki anlatım biçimlerini, düşünceyi geliştirme yollarını ve bunların işlevlerini belirler.",,"Kazanımın odağı, öğrencinin metindeki anlatım biçimlerini, düşünceyi geliştirme yollarını ve bunların işlevlerini belirler. hedefidir.",metindeki; anlatım; biçimlerini; düşünceyi; geliştirme; yollarını; bunların; işlevlerini
turk_dili_ve_edebiyati-ort-A_4_6,49,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.6,Metnin görsel unsurlarla ilişkisini belirler.,"Bazı metin türlerinde resim, karikatür, fotoğraf, çizim, grafik, tablo, diyagram, istatistiksel veri gibi unsurların metin türüyle ilişkisi ve metne katkısı üzerinde durulur.","Kazanımın odağı, öğrencinin metnin görsel unsurlarla ilişkisini belirler. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metnin; görsel; unsurlarla; ilişkisini
turk_dili_ve_edebiyati-ort-A_4_7,50,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.7,Metnin üslup özelliklerini belirler.,"Metinde yazara/metne özgü dil ve anlatım özellikleri belirlenir (Cümle yapıları, deyimler, kelime kadrosu, söz sanatları, akıcılık, nesnellik, öznellik, duygusallık, coşkunluk gibi hususlar dikkate alınır.).","Kazanımın odağı, öğrencinin metnin üslup özelliklerini belirler. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metnin; üslup; özelliklerini
turk_dili_ve_edebiyati-ort-A_4_8,51,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.8,"Metinde millî, manevi ve evrensel değerler ile sosyal, siyasi, tarihî ve mitolojik ögeleri belirler.","a. Metinde, metnin yazıldığı dönemin gerçekliğini yansıtan unsurlara ve/veya metnin dönemin gerçekliğiyle ilişkisine değinilir. b. Bazı metinlerde içeriğin/göstergelerin genel anlamda doğal, toplumsal veya bireysel gerçeklikle ilişkisi incelenir. c. Bu hususlar değerler eğitimi çerçevesinde ele alınır.","Kazanımın odağı, öğrencinin metinde millî, manevi ve evrensel değerler ile sosyal, siyasi, tarihî ve mitolojik ögeleri belirler. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metinde; mill; manevi; evrensel; değerler; sosyal; siyasi; tarih
turk_dili_ve_edebiyati-ort-A_4_9,52,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.9,Metinde ortaya konulan bilgi ve yorumları ayırt eder.,"Ortaya konulan bilgi, tespit ve yorumlar/görüşler; gerekçe, kanıt, tutarlılık, geçerlilik, doğruluk açısından değerlendirilir.","Kazanımın odağı, öğrencinin metinde ortaya konulan bilgi ve yorumları ayırt eder. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metinde; ortaya; konulan; bilgi; yorumları; ayırt
turk_dili_ve_edebiyati-ort-A_4_10,53,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.10,Metinde yazarın bakış açısını belirler.,"a. Bilgilendirici/öğretici metinlerde yazar ile anlatıcının aynı şey olduğu yani edebî (sanatsal/kurgusal) metinlerden farklı olarak gerçek bir kişi olduğu belirtilir. b. Yazarın konuya ve okuyucuya yönelik yaklaşımı/tavrı belirlenir. Yazarın konuyu hangi açıdan ele aldığı yanında, yönlendirme yapıp yapmadığı, taraf olup olmadığı, öznel veya nesnel davranıp davranmadığı gibi hususların bakış açısına etkide bulunduğu hatırlatılır.","Kazanımın odağı, öğrencinin metinde yazarın bakış açısını belirler. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metinde; yazarın; bakış; açısını
turk_dili_ve_edebiyati-ort-A_4_11,54,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.11,"Metinde fikrî, felsefi veya siyasi akım, gelenek veya anlayışların yansımalarını değerlendirir.","a. Metinde görülen veya metnin ortaya koyduğu fikrî, felsefi, siyasi veya estetik anlayışın; diğer metinler veya yazarlarla bağlantılarının/etkileşimlerinin belirlenmesi sağlanır. b. Metni aynı, benzer veya farklı anlayıştaki metinlerle karşılaştırır.","Kazanımın odağı, öğrencinin metinde fikrî, felsefi veya siyasi akım, gelenek veya anlayışların yansımalarını değerlendirir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metinde; fikr; felsefi; veya; siyasi; akım; gelenek; anlayışların
turk_dili_ve_edebiyati-ort-A_4_12,55,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.12,Metni yorumlar.,"Metindeki açık ve örtük iletileri; metinle ilgili tespitlerini, eleştirilerini, güncellemelerini ve beğenisini metne dayanarak/gerekçelendirerek ilgili kazanımlar çerçevesinde ifade etmesi sağlanır.","Kazanımın odağı, öğrencinin metni yorumlar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metni
turk_dili_ve_edebiyati-ort-A_4_13,56,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.4.13,Yazar ve metin arasındaki ilişkiyi değerlendirir.,"a. Yazarın diğer önemli eserlerinden bahsedilir. b. E-posta, haber, blog gibi metinler için bu kazanıma ilişkin bir çalışma yapılması zorunlu değildir.","Kazanımın odağı, öğrencinin yazar ve metin arasındaki ilişkiyi değerlendirir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",yazar; metin; arasındaki; ilişkiyi
